date,time,game,player,player_id,on_team,slur,anti_black,antisemitic,facist,chat_notes,system_notes
2026-04-07,20:04,cs2,"IrishPrick",,,,,,,,
2026-04-07,20:04,cs2,"seanz",,,,,,,,
2026-04-07,20:04,cs2,"NGLDarkk",76561198211944001,1,1,1,,,"racist newport comment unprovoked aimed at me + profile only has comments containing n word",
2026-04-07,20:04,cs2,"Tempp   #freerowe",,,,,,,,
2026-04-07,20:04,cs2,"Nooid",,,,,,,,
,,,,,,,,,,,
2026-04-07,21:33,cs2,"Tigger Lover",76561198138715176,1,1,1,,,"racist pun based on n_word",
2026-04-07,21:33,cs2,"Ravokar Felbane the Undying",,,,,,,,
2026-04-07,21:33,cs2,"Igroman",,,,,,,,
2026-04-07,21:33,cs2,"Slyzr",,,,,,,,
2026-04-07,21:33,cs2,"Won Ton Soup",,,,,,,,
2026-04-07,21:33,cs2,"Baggy Jorts",,,,,,,,
2026-04-07,21:33,cs2,"Peter Conway 122 on da gram",,,,,,,,
2026-04-07,21:33,cs2,"Widowmaker",,,,,,,,
2026-04-07,21:33,cs2,"viter",,,,,,,,
,,,,,,,,,,,
2026-04-07,22:51,cs2,"Klippnikov",,,,,,,,
2026-04-07,22:51,cs2,"the wicked gooner",76561198842280675,1,3,3,,,"racial mockery and n_word + gibberish mocking chinese accent",
2026-04-07,22:51,cs2,"SPOOF",76561199056567215,1,2,1,1,1,"a ******* jew, **** em all ≈ a fucking jew, kill them all",
2026-04-07,22:51,cs2,"YourLocalMexican",76561198355756898,1,1,1,,,,
2026-04-07,22:51,cs2,"✞Pokeimmortal✞ ︻芫=一一",,,,,,,,
2026-04-07,22:51,cs2,"Immortalvulpix",,,,,,,,
2026-04-07,22:51,cs2,"TetsuoShima",,,,,,,,
2026-04-07,22:51,cs2,"Blaz_w4e2e0d",,,,,,,,
2026-04-07,22:51,cs2,"AhFek",,,,,,,,
,,,,,,,,,,,
2026-04-08,00:12,cs2,"DirtiestDan",,,,,,,,
2026-04-08,00:12,cs2,"Wasted",,,,,,,,
2026-04-08,00:12,cs2,"Anzai",76561198843201540,1,1,1,,,,
2026-04-08,00:12,cs2,"Cbass",,,,,,,,
2026-04-08,00:12,cs2,"MïstäFïëstä",,,,,,,,
2026-04-08,00:12,cs2,"Choccy Milk",,,,,,,,
2026-04-08,00:12,cs2,"Trojan Ultra Thin Condoms",,,,,,,,
2026-04-08,00:12,cs2,"Mini Keanu",,,,,,,,
2026-04-08,00:12,cs2,"⍨℞^♛^𝕯𝖗𝖔 ⍨",,,,,,,,
,,,,,,,,,,,
2026-04-08,00:47,cs2,"Dassault Systemes",,,,,,,,
2026-04-08,00:47,cs2,"josh2009",,,,,,,,
2026-04-08,00:47,cs2,"NigerBeast",76561198328205385,1,1,1,,,"name is a racist pun based on n_word",
2026-04-08,00:47,cs2,"Aris Aklouche",,,,,,,,
2026-04-08,00:47,cs2,"FemHunterFrank",76561199558874347,0,1,,1,,"ur green is a jew i smell it",
2026-04-08,00:47,cs2,"wocky",,,,,,,,
2026-04-08,00:47,cs2,"Gigantic Dog",,,,,,,,
2026-04-08,00:47,cs2,"Tosmakked",,,,,,,,
2026-04-08,00:47,cs2,"4SkinZyn",,,,,,,,
,,,,,,,,,,,
2026-04-08,02:39,cs2,"Hoth",76561199235531886,1,1,1,,,"modified version of n_word",
2026-04-08,02:39,cs2,"amerius",,,,,,,,
2026-04-08,02:39,cs2,"Hugh Meager the Fourth",,,,,,,,
2026-04-08,02:39,cs2,"mihailov33344410484",,,,,,,,
2026-04-08,02:39,cs2,"Walmart Sushi",,,,,,,,
2026-04-08,02:39,cs2,"Glockness",,,,,,,,
2026-04-08,02:39,cs2,"☠",76561198200914413,0,1,1,,,"unprovoked at start of game called a player the n_word",
2026-04-08,02:39,cs2,"MoneyTree",,,,,,,,
,,,,,,,,,,,
2026-04-08,03:44,cs2,"JellyFish267",,,,,,,,
2026-04-08,03:44,cs2,"amerius",,,,,,,,
2026-04-08,03:44,cs2,"Hugh Meager the Fourth",,,,,,,,
2026-04-08,03:44,cs2,"ol",,,,,,,,
2026-04-08,03:44,cs2,"Brick <3",,,,,,,,
2026-04-08,03:44,cs2,"I need O2",,,,,,,,
2026-04-08,03:44,cs2,"linhk",,,,,,,,
2026-04-08,03:44,cs2,"DadaJohn",76561199798346746,1,1,1,,,"n_word",
2026-04-08,03:44,cs2,"banana",,,,,,,,
,,,,,,,,,,,
2026-04-08,23:31,cs2,"JimmyPeels",,,,,,,,
2026-04-08,23:31,cs2,"Kleib",,,,,,,,
2026-04-08,23:31,cs2,"Shoon⚡",,,,,,,,
2026-04-08,23:31,cs2,"Dr Disrespect",,,,,,,,
2026-04-08,23:31,cs2,"Lee",,,,,,,,
2026-04-08,23:31,cs2,"Ass Quack",76561198070442846,1,4,4,,,"n_word used often in unprovoked berating",
2026-04-08,23:31,cs2,"Malenoran",,,,,,,,
2026-04-08,23:31,cs2,"Trust",,,,,,,,
2026-04-08,23:31,cs2,"Yumm",,,,,,,,
,,,,,,,,,,,
